Month,Sales
2016-01,182
2016-02,203
2016-03,254
2016-04,265
2016-05,215
2016-06,175
2016-07,196
2016-08,278
2016-09,321
2016-10,154
2016-11,114
2016-12,213
2017-01,195
2017-02,278
2017-03,302
2017-04,314
2017-05,208
2017-06,188
2017-07,97
2017-08,86
2017-09,119
2017-10,94
2017-11,136
2017-12,174
2018-01,176
2018-02,192
2018-03,284
2018-04,205
2018-05,149
2018-06,128
2018-07,133
2018-08,97
2018-09,96
2018-10,112
2018-11,174
2018-12,182
2019-01,129
2019-02,264
2019-03,368
2019-04,186
2019-05,98
2019-06,207
2019-07,96
2019-08,153
2019-09,122
2019-10,278
2019-11,184
2019-12,298
2020-01,121
2020-02,115
2020-03,135
2020-04,98
2020-05,12
2020-06,11
2020-07,49
2020-08,97
2020-09,98
2020-10,92
2020-11,111
2020-12,249
2021-01,110
2021-02,158
2021-03,293
2021-04,133
2021-05,8
2021-06,47
2021-07,106
2021-08,357
2021-09,140
2021-10,101
2021-11,93
2021-12,238
